ID_obs,StartDate_w1,Sex_parent_w1,Age_Parent_w1,Q6_corrected_w1,Q508a_w1,Q8_corr_woAlD_w1,Q15_1_w1,Q15_2_w1,Q15_3_w1,Q18a_1_w1,Q18a_2_w1,Q18a_3_w1,Q18a_4_w1,Q18a_6_w1,Q18b_8_w1,Q18b_9_w1,Q19_1_w1,Q19_2_w1,Q19_3_w1,Q19_4_w1,Q23_1_w1,Q23_2_w1,Q23_3_w1,Q27a_w1,Q27b_w1,StartDate_w2,Q15_1_w2,Q15_2_w2,Q15_3_w2,Q18a_1_w2,Q18a_2_w2,Q18a_3_w2,Q18a_4_w2,Q18a_6_w2,Q18b_8_w2,Q18b_9_w2,Q19_1_w2,Q19_2_w2,Q19_3_w2,Q19_4_w2,Q23_1_w2,Q23_2_w2,Q23_3_w2,Q27a_w2,Q27b_w2,Q502_w2,male_parent,ba_higher_education,age_parent_imp,region_ad,uae_national,jobloss_covid_ind,duration_days,duration_weeks
1461,30 Sep 20,female,30,4.College,United Arab Emirates,Al Ain,61,9,81,4,5,3,3,1,3,2,Agree,Agree,Disagree,Disagree,Rarely,Rarely,Never,No,No,19 Mar 21,,,,,,,,,,,,,,,,,,,,,No,No,30,No,Yes,No,170,24.285715
413,25 Oct 20,male,39,,United Arab Emirates,Abu Dhabi,18,40,50,3,3,2,3,2,2,3,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,No,No,17 Mar 21,30,30,57,Very good,Very good,Very good,Excellent,4,4,4,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Rarely,No,No,Yes,Yes,No,39,Yes,Yes,No,143,20.428572
1046,10 Sep 20,female,40,7.Masters Degree,Colombia,Al Ain,50,50,50,2,3,2,1,1,1,4,Disagree,Agree,Disagree,Strongly disagree,Sometimes,Often,Sometimes,No,No,01 Apr 21,40,60,50,Good,Good,Good,Good,2,3,4,Disagree,Agree,Strongly disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,Yes,40,No,No,No,203,29
919,13 Sep 20,female,32,7.Masters Degree,United Kingdom of Great Britain and Northern Ireland,Al Ain,70,40,80,2,4,2,2,2,3,3,Agree,Disagree,Agree,Agree,Sometimes,Often,Sometimes,No,No,03 Mar 21,70,0,70,Very good,Very good,Very good,Good,3,3,3,Strongly agree,Disagree,Agree,Agree,Never,Sometimes,Rarely,No,No,Yes,No,Yes,32,No,No,No,171,24.428572
1459,14 Sep 20,female,40,8.Doctorate‎/PhD,Denmark,Abu Dhabi,50,50,57,5,5,5,4,4,3,5,Strongly disagree,Disagree,Agree,Strongly disagree,Rarely,Never,Never,No,No,14 Feb 21,19,32,33,Very good,Excellent,Very good,Excellent,4,3,4,Disagree,Agree,Disagree,Strongly disagree,Never,Never,Never,No,No,Yes,No,Yes,40,Yes,No,No,153,21.857143
692,27 Sep 20,female,39,9.other,Philippines,Abu Dhabi,0,55,10,3,3,4,4,5,2,3,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Rarely,Rarely,Rarely,No,No,03 Mar 21,30,30,30,Very good,Fair,Very good,Very good,4,2,4,Agree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,No,Yes,Yes,No,No,39,Yes,No,No,157,22.428572
399,23 Sep 20,female,39,9.other,United Kingdom of Great Britain and Northern Ireland,Al Ain,50,79,82,4,3,3,2,3,1,1,Agree,Disagree,Strongly disagree,Agree,Often,Often,Often,No,No,21 Feb 21,64,40,66,Fair,Very good,Fair,Fair,2,1,1,Agree,Agree,Agree,Agree,Often,Often,Sometimes,No,No,No,No,No,39,No,No,No,151,21.571428
1463,10 Sep 20,female,43,7.Masters Degree,Canada,Al Ain,36,66,40,3,3,3,2,2,2,4,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,14 Feb 21,40,100,,Good,Good,Fair,Poor,2,1,1,Agree,Disagree,Disagree,Disagree,Often,All the time,All the time,Yes,No,Yes,No,Yes,43,No,No,No,157,22.428572
620,15 Oct 20,female,27,,India,Abu Dhabi,41,81,55,3,3,3,3,2,2,3,Strongly agree,Agree,Disagree,Disagree,Often,Sometimes,Rarely,No,No,11 Mar 21,40,38,7,Good,Good,Good,Good,2,3,3,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Sometimes,No,No,No,No,No,27,Yes,No,No,147,21
20,23 Sep 20,female,30,8.Doctorate‎/PhD,France,Abu Dhabi,40,56,50,5,4,4,3,2,1,3,Disagree,Agree,Disagree,Agree,Never,Sometimes,Never,No,No,21 Feb 21,16,36,66,Very good,Good,Fair,Fair,1,1,3,Disagree,Disagree,Disagree,Agree,Rarely,Often,Often,No,No,Yes,No,Yes,30,Yes,No,No,151,21.571428
264,14 Sep 20,female,31,7.Masters Degree,India,Abu Dhabi,50,59,43,4,3,5,3,2,4,3,Disagree,Disagree,Disagree,Agree,Sometimes,Often,Often,No,No,31 Mar 21,,,,,,,,,,,,,,,,,,,,,No,Yes,31,Yes,No,No,198,28.285715
451,02 Oct 20,female,29,,Egypt,Al Ain,51,61,57,3,3,3,4,4,4,4,Disagree,Disagree,Agree,Disagree,Never,Never,Never,No,Yes,27 Mar 21,0,80,0,Good,Very good,Good,Very good,3,4,4,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,No,No,29,No,No,No,176,25.142857
537,10 Sep 20,female,38,6.Bachelors Degree,Philippines,Al Ain,20,22,51,3,2,2,2,2,2,2,Strongly agree,Agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Sometimes,No,No,17 Feb 21,50,51,50,Good,Good,Good,Fair,2,3,3,Agree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,38,No,No,No,160,22.857143
936,27 Sep 20,male,35,9.other,Brazil,Abu Dhabi,40,70,40,4,4,4,3,2,3,3,Agree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Sometimes,No,No,15 Mar 21,40,40,50,Good,Good,Very good,Very good,3,4,4,Disagree,Disagree,Strongly disagree,Disagree,Never,Rarely,Rarely,No,No,Yes,Yes,No,35,Yes,No,No,169,24.142857
151,15 Oct 20,male,22,,India,Abu Dhabi,20,20,30,2,4,2,3,2,3,4,Disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Never,Never,No,No,22 Feb 21,10,20,30,Very good,Excellent,Good,Good,4,3,4,Disagree,Disagree,Disagree,Strongly disagree,Sometimes,Rarely,Never,No,No,No,Yes,No,22,Yes,No,No,130,18.571428
1375,29 Sep 20,male,39,7.Masters Degree,India,Abu Dhabi,20,20,0,5,4,5,5,4,4,4,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,No,Yes,02 Mar 21,30,30,10,Very good,Very good,Very good,Very good,1,4,4,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,No,No,Yes,Yes,Yes,39,Yes,No,No,154,22
364,10 Sep 20,female,29,6.Bachelors Degree,Bahrain,Al Ain,60,20,60,3,3,2,2,2,4,2,Strongly agree,Agree,Disagree,Agree,Sometimes,Rarely,Sometimes,No,No,14 Feb 21,50,30,70,Fair,Very good,Good,Poor,2,1,1,Agree,Disagree,Disagree,Agree,Often,Often,Often,No,No,Yes,No,Yes,29,No,No,No,157,22.428572
73,10 Sep 20,female,39,4.College,Jordan,Al Ain,42,48,50,5,4,5,5,4,3,2,Agree,Agree,Agree,Strongly agree,Rarely,Sometimes,Never,No,No,21 Feb 21,,,,,,,,,,,,,,,,,,,,,No,No,39,No,No,No,164,23.428572
1568,04 Oct 20,female,25,9.other,Syrian Arab Republic,Abu Dhabi,50,60,50,4,2,3,4,2,3,4,Disagree,Agree,Agree,Agree,Rarely,Sometimes,Rarely,No,No,09 Mar 21,49,67,50,Good,Fair,Good,Good,3,3,3,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,No,No,25,Yes,No,No,156,22.285715
1488,05 Oct 20,female,40,3.High School,United Arab Emirates,Al Ain,30,50,50,3,3,3,3,1,1,1,Agree,Agree,Strongly agree,Agree,Sometimes,Sometimes,Often,No,No,10 Mar 21,5,46,0,Very good,Good,Very good,Good,3,3,3,Disagree,Agree,Disagree,Agree,Sometimes,Rarely,Sometimes,No,No,Yes,No,No,40,No,Yes,No,156,22.285715
1329,15 Oct 20,male,29,2.Elementary School,India,Abu Dhabi,0,0,0,3,3,3,3,4,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Yes,Yes,31 Mar 21,96,98,99,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Often,Often,No,No,No,Yes,No,29,Yes,No,Yes,167,23.857143
1659,12 Sep 20,female,36,4.College,Indonesia,Al Ain,50,60,50,2,2,2,2,2,2,2,Agree,Disagree,Disagree,Agree,Sometimes,Rarely,Rarely,No,No,31 Mar 21,33,51,33,Fair,Fair,Fair,Fair,2,2,2,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Often,No,No,Yes,No,No,36,No,No,No,200,28.571428
242,14 Sep 20,female,39,7.Masters Degree,United States of America,Abu Dhabi,28,43,28,3,3,3,2,2,2,3,Disagree,Disagree,Disagree,Disagree,Often,Often,Often,No,No,16 Feb 21,50,32,50,Good,Good,Very good,Fair,1,3,2,Disagree,Disagree,Disagree,Disagree,Often,Often,Often,No,No,No,No,Yes,39,Yes,No,No,155,22.142857
1285,15 Sep 20,female,32,8.Doctorate‎/PhD,Luxembourg,Abu Dhabi,50,93,50,4,3,4,5,5,3,3,Disagree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Never,No,Yes,15 Feb 21,15,83,17,Very good,Very good,Very good,Very good,4,4,5,Agree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,No,Yes,No,No,Yes,32,Yes,No,No,153,21.857143
66,16 Sep 20,female,38,9.other,Jordan,Al Ain,33,50,49,5,5,4,5,4,3,4,Strongly agree,Agree,Agree,Disagree,Never,Never,Never,No,No,13 Mar 21,51,25,0,Excellent,Very good,Excellent,Excellent,3,3,5,Agree,Agree,Disagree,Disagree,Sometimes,Rarely,Never,No,No,No,No,No,38,No,No,No,178,25.428572
1020,13 Sep 20,female,34,6.Bachelors Degree,United Arab Emirates,Al Ain,50,42,50,3,3,2,3,3,3,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,No,No,17 Feb 21,54,40,40,Fair,Fair,Fair,Fair,1,2,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,34,No,Yes,No,157,22.428572
1253,13 Sep 20,female,36,7.Masters Degree,Indonesia,Abu Dhabi,20,86,40,4,2,3,2,2,2,3,Strongly agree,Agree,Agree,Agree,Sometimes,Rarely,Often,No,No,17 Feb 21,35,65,40,Good,Fair,Poor,Fair,1,2,2,Strongly agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,36,Yes,No,No,157,22.428572
1242,24 Sep 20,female,29,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,30,70,30,4,3,4,5,3,4,1,Agree,Strongly agree,Disagree,Agree,Rarely,Often,Often,Yes,Yes,24 Feb 21,50,60,70,Poor,Fair,Poor,Good,2,3,1,Agree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Sometimes,Yes,Yes,No,No,Yes,29,Yes,Yes,Yes,153,21.857143
1349,10 Sep 20,male,34,7.Masters Degree,Bulgaria,Abu Dhabi,30,60,40,4,2,3,2,1,1,2,Agree,Agree,Agree,Agree,Rarely,Sometimes,Sometimes,No,No,14 Feb 21,30,40,70,Good,Good,Good,Good,1,2,3,Agree,Agree,Disagree,Disagree,Rarely,Often,Sometimes,No,No,Yes,Yes,Yes,34,Yes,No,No,157,22.428572
974,10 Sep 20,female,36,7.Masters Degree,Kazakhstan,Al Ain,40,40,30,3,3,3,2,2,3,3,Agree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,14 Feb 21,,,,,,,,,,,,,,,,,,,,,No,Yes,36,No,No,No,157,22.428572
494,25 Oct 20,female,33,,India,Al Ain,0,69,100,3,3,3,3,2,3,2,Disagree,Agree,Disagree,Agree,Often,All the time,All the time,Yes,Yes,28 Mar 21,0,71,0,Fair,Good,Fair,Good,1,4,4,Disagree,Disagree,Strongly agree,Agree,,,,,,,No,No,33,No,No,Yes,154,22
1268,27 Sep 20,female,28,7.Masters Degree,United Arab Emirates,Abu Dhabi,20,50,80,3,2,3,2,1,3,3,Strongly agree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,No,No,03 Mar 21,29,29,30,Good,Good,Good,Good,3,2,4,Strongly agree,Strongly agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,Yes,28,Yes,Yes,No,157,22.428572
1456,12 Sep 20,female,39,6.Bachelors Degree,Egypt,Al Ain,50,70,50,3,2,2,1,1,1,1,Agree,Strongly agree,Agree,Strongly agree,Sometimes,Sometimes,Often,No,No,18 Feb 21,50,95,50,Fair,Poor,Poor,Poor,1,1,1,Strongly agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,No,Yes,39,No,No,No,159,22.714285
1482,28 Sep 20,female,27,,Egypt,Al Ain,49,29,6,2,3,3,3,3,2,3,Disagree,Agree,Agree,Agree,Sometimes,Often,Rarely,No,No,04 Apr 21,68,67,77,Excellent,Excellent,Excellent,Excellent,5,5,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Never,Never,Yes,Yes,No,No,No,27,No,No,No,188,26.857143
37,05 Oct 20,female,28,6.Bachelors Degree,Egypt,Abu Dhabi,45,85,50,3,3,3,3,2,3,4,Strongly agree,Agree,Agree,Strongly agree,Sometimes,Often,Often,No,No,31 Mar 21,51,59,50,Fair,Good,Fair,Good,3,2,3,Strongly agree,Strongly agree,Agree,Agree,,,,,,,No,Yes,28,Yes,No,No,177,25.285715
1509,01 Oct 20,female,38,,India,Abu Dhabi,25,43,17,4,3,3,4,2,2,3,Agree,Agree,Disagree,Agree,Sometimes,All the time,Rarely,No,No,18 Feb 21,49,47,50,Good,Fair,Good,Very good,5,3,5,Agree,Agree,Agree,Agree,Sometimes,All the time,Often,No,Yes,No,No,No,38,Yes,No,No,140,20
1640,11 Sep 20,female,35,6.Bachelors Degree,Philippines,Al Ain,0,75,0,3,2,2,2,2,2,3,Strongly agree,Strongly disagree,Disagree,Disagree,,,,,,15 Feb 21,0,58,0,Good,Fair,Poor,Fair,,5,1,Strongly disagree,Disagree,Disagree,Disagree,Rarely,Often,Sometimes,Yes,Yes,No,No,Yes,35,No,No,No,157,22.428572
317,29 Sep 20,female,34,6.Bachelors Degree,Philippines,Abu Dhabi,66,51,50,3,3,3,3,3,3,3,Agree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,No,No,03 Mar 21,70,85,70,Good,Good,Good,Good,2,3,3,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Rarely,No,No,Yes,No,Yes,34,Yes,No,No,155,22.142857
59,12 Sep 20,female,33,7.Masters Degree,Egypt,Abu Dhabi,50,80,70,3,3,3,2,2,2,4,Agree,Agree,Disagree,Disagree,Rarely,Never,Rarely,No,No,14 Feb 21,50,80,50,Good,Good,Very good,Good,2,2,5,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,33,Yes,No,No,155,22.142857
899,13 Oct 20,female,30,,Sudan,Al Ain,45,,33,1,3,4,4,2,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Never,Rarely,Never,Yes,No,25 Feb 21,6,5,,Good,Good,Good,Excellent,5,5,2,Agree,Agree,Agree,Disagree,Never,Never,Never,No,No,No,No,No,30,No,No,Yes,135,19.285715
260,10 Sep 20,female,37,7.Masters Degree,United Arab Emirates,Al Ain,20,20,50,3,2,2,2,1,2,2,Disagree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Rarely,Rarely,No,No,15 Feb 21,30,30,50,,,,,,,,,,,,,,,,,,No,Yes,37,No,Yes,No,158,22.571428
1627,10 Oct 20,female,35,9.other,Sudan,Abu Dhabi,50,50,50,1,1,1,3,1,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Never,No,No,10 Mar 21,40,20,55,Fair,Fair,Fair,Fair,1,1,1,Agree,Agree,Agree,Agree,Never,Sometimes,Rarely,,,,No,No,35,Yes,No,No,151,21.571428
1625,15 Oct 20,female,28,,India,Al Ain,25,100,50,2,2,2,1,1,1,2,Disagree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Sometimes,No,Yes,23 Mar 21,40,100,70,Good,Fair,Good,Poor,2,4,3,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,Yes,No,No,No,28,No,No,No,159,22.714285
795,22 Sep 20,female,29,6.Bachelors Degree,India,Abu Dhabi,51,81,51,2,2,2,2,1,3,3,Agree,Disagree,Disagree,Agree,Never,Sometimes,Never,No,No,21 Feb 21,50,60,50,Good,Fair,Good,Fair,2,3,3,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,Yes,29,Yes,No,No,152,21.714285
1530,15 Oct 20,female,31,,United Arab Emirates,Abu Dhabi,47,43,67,4,2,4,2,2,4,3,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Never,Never,No,No,25 Mar 21,17,0,0,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,Never,No,No,Yes,No,No,31,Yes,Yes,No,161,23
67,24 Oct 20,female,32,,Palestine,Al Ain,,50,,4,3,3,4,3,4,3,Agree,Agree,Agree,Agree,Rarely,Sometimes,Sometimes,No,Yes,23 Mar 21,33,100,99,Excellent,Excellent,Excellent,Excellent,5,2,5,Disagree,Disagree,Agree,Disagree,Sometimes,Never,Often,No,No,No,No,No,32,No,No,No,150,21.428572
627,29 Sep 20,female,26,6.Bachelors Degree,United Kingdom of Great Britain and Northern Ireland,Abu Dhabi,40,40,40,2,3,2,2,2,3,2,Agree,Agree,Disagree,Disagree,Often,Often,Sometimes,No,No,03 Mar 21,71,40,81,Good,Good,Fair,Fair,2,3,3,Disagree,Disagree,Disagree,Disagree,Often,Often,Sometimes,No,No,Yes,No,Yes,26,Yes,No,No,155,22.142857
232,27 Sep 20,male,49,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,28,0,0,5,5,5,5,5,4,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Rarely,Rarely,No,No,28 Feb 21,10,0,10,Excellent,Excellent,Excellent,Excellent,5,4,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Rarely,No,No,Yes,Yes,Yes,49,Yes,Yes,No,154,22
1214,24 Oct 20,female,27,,Egypt,Abu Dhabi,46,64,29,3,2,3,4,4,3,3,Disagree,Strongly agree,Agree,Agree,Often,Often,Often,Yes,Yes,01 Mar 21,52,51,54,Very good,Fair,Good,Very good,4,3,3,Disagree,,Agree,Agree,Often,Often,Sometimes,Yes,Yes,No,No,No,27,Yes,No,Yes,128,18.285715
1295,18 Sep 20,female,38,6.Bachelors Degree,Malaysia,Abu Dhabi,5,50,5,3,3,3,3,3,3,3,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,,,22 Feb 21,50,50,50,Good,Good,Good,Good,3,3,3,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,No,Yes,38,Yes,No,No,157,22.428572
1048,26 Sep 20,female,31,5.Vocational Training,United Kingdom of Great Britain and Northern Ireland,Al Ain,20,75,51,2,2,2,2,1,1,1,Strongly agree,Strongly agree,Agree,Strongly agree,Often,Often,Often,No,No,28 Feb 21,40,40,50,Good,Good,Good,Good,2,3,2,Strongly agree,Agree,Agree,Strongly agree,Sometimes,Sometimes,Rarely,No,No,Yes,No,No,31,No,No,No,155,22.142857
1361,04 Oct 20,male,34,6.Bachelors Degree,United Arab Emirates,Abu Dhabi,0,0,0,5,5,5,5,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,31 Mar 21,0,0,0,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Never,Never,Never,No,No,Yes,Yes,Yes,34,Yes,Yes,No,178,25.428572
1545,17 Sep 20,female,25,3.High School,India,Al Ain,40,44,72,2,2,2,1,2,4,3,Agree,Strongly disagree,Strongly disagree,Disagree,Often,Often,Rarely,No,Yes,21 Feb 21,60,58,60,Fair,Good,Fair,Good,2,4,4,Agree,Strongly disagree,Disagree,Disagree,,,,,,,No,No,25,No,No,No,157,22.428572
733,27 Sep 20,female,34,7.Masters Degree,India,Abu Dhabi,9,20,70,2,2,2,2,1,2,3,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,28 Feb 21,1,20,50,Very good,Good,Very good,Good,3,3,3,Agree,Strongly agree,Disagree,Strongly agree,Often,Sometimes,Often,No,No,No,No,Yes,34,Yes,No,No,154,22
1594,14 Sep 20,female,27,7.Masters Degree,United States of America,Abu Dhabi,26,45,26,3,3,3,2,1,2,4,Disagree,Strongly disagree,Strongly disagree,Agree,Sometimes,Rarely,Never,No,No,14 Feb 21,29,30,89,Good,Good,Good,Fair,2,1,3,Agree,Disagree,Disagree,Strongly agree,Sometimes,Sometimes,Rarely,No,No,No,No,Yes,27,Yes,No,No,153,21.857143
800,15 Oct 20,female,30,,Jordan,Al Ain,,64,0,4,3,4,5,1,4,5,Disagree,Disagree,Strongly agree,Disagree,Sometimes,All the time,Never,No,Yes,24 Feb 21,0,71,0,Fair,Fair,Excellent,Very good,1,3,3,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Yes,Yes,No,No,No,30,No,No,No,132,18.857143
1666,28 Sep 20,female,41,6.Bachelors Degree,Philippines,Al Ain,30,50,50,2,2,2,3,2,2,1,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Rarely,No,No,03 Mar 21,60,60,60,Fair,Fair,Fair,Fair,2,1,1,Strongly agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,Yes,No,Yes,41,No,No,No,156,22.285715
1540,12 Oct 20,male,36,,Egypt,Al Ain,68,84,42,2,2,2,3,2,3,3,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,No,03 Apr 21,78,73,67,Very good,Good,Very good,Very good,4,4,3,Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,No,No,No,Yes,No,36,No,No,No,173,24.714285
215,27 Sep 20,female,31,6.Bachelors Degree,India,Abu Dhabi,50,40,50,5,3,5,5,3,5,5,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,No,No,01 Apr 21,45,45,45,Very good,Very good,Very good,Very good,3,4,4,Disagree,Disagree,Strongly disagree,Strongly disagree,Never,Never,Never,No,No,Yes,No,Yes,31,Yes,No,No,186,26.571428
52,24 Sep 20,male,40,4.College,Sudan,Al Ain,50,,,3,3,3,2,1,1,2,Agree,Agree,Disagree,Disagree,Often,Often,Sometimes,No,No,31 Mar 21,,,,,,,,,,,,,,,,,,,,,Yes,No,40,No,No,No,188,26.857143
1301,26 Sep 20,male,26,6.Bachelors Degree,India,Abu Dhabi,10,86,76,3,2,2,1,1,1,1,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Sometimes,No,Yes,07 Mar 21,5,84,66,Fair,Fair,Good,Poor,1,1,3,Agree,Disagree,Disagree,Agree,,,,,,,Yes,Yes,26,Yes,No,No,162,23.142857
894,25 Oct 20,female,41,9.other,Iraq,Al Ain,50,49,50,3,4,4,5,2,4,3,Agree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Never,No,Yes,21 Feb 21,0,27,0,Excellent,Very good,Excellent,Excellent,5,5,5,Agree,Agree,Agree,Agree,Never,Never,Never,No,No,No,No,No,41,No,No,No,119,17
195,10 Sep 20,female,44,4.College,Germany,Al Ain,23,20,11,4,4,4,3,3,2,2,Disagree,Disagree,Disagree,Agree,Rarely,Rarely,Sometimes,No,No,14 Feb 21,24,26,73,Very good,Good,Very good,Very good,3,4,4,Disagree,Strongly disagree,Disagree,Agree,Never,Rarely,Never,No,No,Yes,No,No,44,No,No,No,157,22.428572
1092,13 Sep 20,female,33,7.Masters Degree,United Kingdom of Great Britain and Northern Ireland,Abu Dhabi,24,67,55,4,3,4,3,2,4,4,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,No,No,31 Mar 21,19,29,41,Excellent,Very good,Very good,Very good,4,3,4,Agree,Disagree,Strongly disagree,Agree,Never,Never,Never,No,No,Yes,No,Yes,33,Yes,No,No,199,28.428572
979,14 Oct 20,female,58,4.College,Palestine,Abu Dhabi,10,77,15,4,3,3,4,2,3,4,Agree,Disagree,Agree,Agree,Sometimes,Rarely,Rarely,No,Yes,08 Mar 21,30,51,50,Good,Fair,Very good,Very good,3,2,3,Disagree,Agree,Agree,Agree,Sometimes,Rarely,Never,No,Yes,Yes,No,No,58,Yes,No,No,145,20.714285
1458,17 Sep 20,female,41,9.other,Jordan,Al Ain,35,85,50,4,3,2,4,1,3,1,Strongly agree,Strongly agree,Agree,Agree,Sometimes,Often,All the time,No,No,16 Mar 21,50,49,52,Good,Good,Fair,Good,1,2,1,Agree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,No,Yes,Yes,No,No,41,No,No,No,180,25.714285
1075,15 Oct 20,female,26,,India,Al Ain,22,85,56,3,3,2,3,3,2,3,Strongly agree,Agree,Agree,Strongly agree,Often,Often,All the time,No,No,31 Mar 21,90,92,100,Excellent,Excellent,Excellent,Excellent,5,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Often,Often,Yes,No,No,No,No,26,No,No,No,167,23.857143
61,18 Oct 20,female,29,6.Bachelors Degree,Egypt,Abu Dhabi,50,100,50,3,3,2,1,1,1,2,Strongly agree,Strongly agree,Agree,Strongly agree,All the time,All the time,All the time,No,No,14 Mar 21,50,50,50,Fair,Good,Fair,Poor,1,1,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,All the time,Sometimes,No,No,No,No,Yes,29,Yes,No,No,147,21
981,12 Sep 20,male,31,6.Bachelors Degree,Jordan,Abu Dhabi,45,55,58,4,3,3,3,1,2,3,Agree,Disagree,Disagree,Agree,,,,,,15 Feb 21,64,60,64,Excellent,Good,Very good,Good,3,3,3,Agree,Agree,Disagree,Agree,Sometimes,Rarely,Never,Yes,No,No,Yes,Yes,31,Yes,No,No,156,22.285715
723,14 Sep 20,female,29,6.Bachelors Degree,India,Al Ain,0,0,0,4,4,3,3,2,2,4,Agree,Agree,Disagree,Disagree,Rarely,All the time,Never,No,No,31 Mar 21,,,,,,,,,,,,,,,,,,,,,No,Yes,29,No,No,No,198,28.285715
1097,12 Oct 20,female,32,,Egypt,Abu Dhabi,50,50,50,3,3,3,3,3,3,3,Agree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,No,No,21 Mar 21,36,41,50,Fair,Fair,Fair,Good,2,2,2,Agree,Agree,Disagree,Agree,Sometimes,Often,Sometimes,No,No,No,No,No,32,Yes,No,No,160,22.857143
421,07 Oct 20,female,27,,Egypt,Abu Dhabi,30,50,37,5,4,5,5,4,4,4,Agree,Strongly agree,Strongly agree,Agree,Often,Often,Sometimes,No,No,31 Mar 21,56,59,46,Excellent,Excellent,Excellent,Excellent,4,5,5,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Never,No,No,No,No,No,27,Yes,No,No,175,25
